idx	title	type	link	agency	date
78	DOW-UAP-D8, Mission Report, Djibouti, 2025	PDF	https://www.war.gov/medialink/ufo/release_1/dow-uap-d8-mission-report-djibouti-2025.pdf	Department of War	N/A
79	DOW-UAP-PR19, Unresolved UAP Report, Middle East, May 2022	VID	https://www.war.gov/medialink/ufo/release_1/dow-uap-d10-mission-report-middle-east-may-2022.pdf	Department of War	N/A
80	DOW-UAP-PR20, Unresolved UAP Report, Kuwait, May 2022	PDF	https://www.war.gov/medialink/ufo/release_1/dow-uap-pr20.pdf	Department of War	N/A
81	DOW-UAP-PR21, Unresolved UAP Report, Iraq, May 2022	VID	https://www.war.gov/medialink/ufo/release_1/dow-uap-d14-mission-report-iraq-may-2022.pdf	Department of War	N/A
82	DOW-UAP-PR22, Unresolved UAP Report, Syria, July 2022	VID	https://www.war.gov/medialink/ufo/release_1/dow-uap-d16-mission-report-syria-july-2022.pdf	Department of War	N/A
83	DOW-UAP-PR23, Unresolved UAP Report, Iraq, December 2022	VID	https://www.war.gov/medialink/ufo/release_1/dow-uap-d18-mission-report-iraq-december-2022.pdf	Department of War	N/A
84	DOW-UAP-PR26, Unresolved UAP Report, United Arab Emirates, October 2023	VID	https://www.war.gov/medialink/ufo/release_1/dow-uap-d23-mission-report-united-arab-emirates-october-2023.pdf	Department of War	N/A
85	DOW-UAP-PR27, Unresolved UAP Report, United Arab Emirates, October 2023	VID	https://www.war.gov/medialink/ufo/release_1/dow-uap-d23-mission-report-united-arab-emirates-october-2023.pdf	Department of War	N/A
86	DOW-UAP-PR28, Unresolved UAP Report, Greece, January 2024	VID		Department of War	N/A
87	DOW-UAP-PR29, Unresolved UAP Report, United Arab Emirates, June 2024	VID		Department of War	N/A
88	DOW-UAP-PR31, Unresolved UAP Report, Syria, October 2024	VID	https://www.war.gov/medialink/ufo/release_1/dow-uap-d32-mission-report,-syria-october-2024.pdf	Department of War	N/A
89	DOW-UAP-PR32, Unresolved UAP Report, Syria, October 2024	VID	https://www.war.gov/medialink/ufo/release_1/dow-uap-d32-mission-report,-syria-october-2024.pdf	Department of War	N/A
90	DOW-UAP-PR33, Unresolved UAP Report, Syria, October 2024	VID	https://www.war.gov/medialink/ufo/release_1/dow-uap-d32-mission-report,-syria-october-2024.pdf	Department of War	N/A
91	DOW-UAP-PR34, Unresolved UAP Report, Greece, October 2023	VID	https://www.war.gov/medialink/ufo/release_1/dow-uap-d33-mission-report-greece-october-2023.pdf	Department of War	N/A
92	DOW-UAP-PR35, Unresolved UAP Report, Greece, October 2023	VID	https://www.war.gov/medialink/ufo/release_1/dow-uap-d35-mission-report-greece-october-2023.pdf	Department of War	N/A
93	DOW-UAP-PR36, Unresolved UAP Report, Middle East, May 2020	VID	https://www.war.gov/medialink/ufo/release_1/dow-uap-d38-range-fouler-debrief-middle-east-may-2020.pdf	Department of War	N/A
94	DOW-UAP-PR37, Unresolved UAP Report, Middle East, 2020	VID		Department of War	N/A
95	DOW-UAP-PR38, Unresolved UAP Report, Middle East, 2013 	VID		Department of War	N/A
96	DOW-UAP-PR39, Unresolved UAP Report, Middle East, 2020	VID		Department of War	N/A
